Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
18;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201312;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201312;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201312;Standort1;direkt;TR;Türkei;3
2;201312;Standort1;direkt;MY;Malaysia;3
7;201312;Standort1;direkt;TR;Türkei;3
5;201312;Standort1;direkt;TR;Türkei;3
4;201312;Standort1;direkt;TR;Türkei;3
3;201312;Standort1;direkt;TR;Türkei;3
7;201312;Standort1;direkt;TR;Türkei;3
7;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201401;Standort1;direkt;DE;Deutschland;3
3;201401;Standort1;direkt;KW;Kuwait;3
1;201401;Standort1;direkt;KW;Kuwait;3
6;201401;Standort1;direkt;DE;Deutschland;3
8;201401;Standort1;direkt;MY;Malaysia;3
2;201401;Standort1;direkt;DE;Deutschland;3
25;201401;Standort1;direkt;DE;Deutschland;3
25;201401;Standort1;direkt;DE;Deutschland;3
15;201401;Standort1;direkt;ID;Indonesien;3
3;201401;Standort1;direkt;KW;Kuwait;3
3;201401;Standort1;direkt;KW;Kuwait;3
1;201312;Standort1;direkt;DE;Deutschland;3
2;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201312;Standort1;direkt;GB;Vereinigtes Königreich;3
21;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
8;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201401;Standort1;direkt;MY;Malaysia;3
2;201402;Standort1;direkt;DE;Deutschland;3
14;201402;Standort1;direkt;DE;Deutschland;3
26;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
-4;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201403;Standort1;direkt;TR;Türkei;3
1;201402;Standort1;direkt;DE;Deutschland;3
2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
-2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
-2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201402;Standort1;direkt;KW;Kuwait;3
3;201401;Standort1;direkt;ID;Indonesien;3
35;201401;Standort1;direkt;ID;Indonesien;3
1;201402;Standort1;direkt;TR;Türkei;3
25;201403;Standort1;direkt;KW;Kuwait;3
20;201403;Standort1;direkt;KW;Kuwait;3
26;201402;Standort1;direkt;KW;Kuwait;3
21;201402;Standort1;direkt;KW;Kuwait;3
18;201403;Standort1;direkt;DE;Deutschland;3
1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
-1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201403;Standort1;direkt;MY;Malaysia;3
2;201401;Standort1;direkt;GB;Vereinigtes Königreich;3
8;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
40;201402;Standort1;direkt;QA;Qatar;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
19;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
14;201403;Standort1;direkt;KW;Kuwait;3
7;201403;Standort1;direkt;KW;Kuwait;3
7;201403;Standort1;direkt;KW;Kuwait;3
14;201402;Standort1;direkt;KW;Kuwait;3
7;201402;Standort1;direkt;KW;Kuwait;3
7;201402;Standort1;direkt;KW;Kuwait;3
8;201402;Standort1;direkt;KW;Kuwait;3
4;201402;Standort1;direkt;KW;Kuwait;3
3;201402;Standort1;direkt;DE;Deutschland;3
2;201402;Standort1;direkt;DE;Deutschland;3
5;201402;Standort1;direkt;DE;Deutschland;3
